"page_url","valid_json","missing_required_fields","datePosted","validThrough","expired_as_of_audit_date"
"https://www.searchsarkarinaukri.com/jobs/echs-goa-echs-goa-2026--5014","true","","2026-08-25T02:02:11.000Z","2026-09-23T00:00:00.000Z","false"
"https://www.searchsarkarinaukri.com/jobs/rsc-nagpur-rsc-nagpur-2026--5013","true","","2026-08-25T02:02:11.000Z","2026-09-03T00:00:00.000Z","false"
"https://www.searchsarkarinaukri.com/jobs/job-2026--5015","true","","2026-08-25T03:00:51.000Z","2026-09-02T00:00:00.000Z","false"
"https://www.searchsarkarinaukri.com/jobs/gokhale-education-society-gokhale-education-society-2026--5009","true","","2026-08-25T02:02:11.000Z","2026-09-02T00:00:00.000Z","false"
"https://www.searchsarkarinaukri.com/jobs/rites-rites-2026--5010","true","","2026-08-25T02:02:11.000Z","2026-08-30T00:00:00.000Z","false"
"https://www.searchsarkarinaukri.com/jobs/sgbau-amravati-sgbau-amravati-2026--5012","true","","2026-08-25T02:02:11.000Z","2026-09-07T00:00:00.000Z","false"
"https://www.searchsarkarinaukri.com/jobs/isp-nashik-isp-nashik-2026--5011","true","","2026-08-25T02:02:11.000Z","2026-09-04T00:00:00.000Z","false"
"https://www.searchsarkarinaukri.com/jobs/jilhadhikari-karyalay-wardha-bharti-2026-details-jilhadhikari-karyalay-wardha-bharti-2026-details-20--5007","true","","2026-08-25T02:02:11.000Z","2026-08-28T00:00:00.000Z","false"
"https://www.searchsarkarinaukri.com/jobs/vivekanand-education-society-mumbai-vivekanand-education-society-mumbai-2026--5008","true","","2026-08-25T02:02:11.000Z","2026-09-08T00:00:00.000Z","false"
"https://www.searchsarkarinaukri.com/jobs/mahapareshan-navi-mumbai-mahapareshan-navi-mumbai-2026--5005","true","","2026-08-25T02:02:10.000Z","2026-09-07T00:00:00.000Z","false"
"https://www.searchsarkarinaukri.com/jobs/vishweshwar-sahakari-bank-vishweshwar-sahakari-bank-2026--5006","true","","2026-08-25T02:02:11.000Z","2026-09-03T00:00:00.000Z","false"
"https://www.searchsarkarinaukri.com/jobs/icar-iari-icar-iari-2026--5003","true","","2026-08-25T02:02:10.000Z","2026-09-05T00:00:00.000Z","false"
"https://www.searchsarkarinaukri.com/jobs/south-central-railway-south-central-railway-2026--5004","true","","2026-08-25T02:02:10.000Z","2026-09-10T00:00:00.000Z","false"
"https://www.searchsarkarinaukri.com/jobs/federal-bank-federal-bank-2026--5001","true","","2026-08-25T02:02:10.000Z","2026-08-31T00:00:00.000Z","false"
"https://www.searchsarkarinaukri.com/jobs/kendriya-vidyalaya-pune-kendriya-vidyalaya-pune-2026--5002","true","","2026-08-25T02:02:10.000Z","2026-08-25T00:00:00.000Z","false"
"https://www.searchsarkarinaukri.com/jobs/icsil-bharti-2026-details-icsil-bharti-2026-details-2026--4999","true","","2026-08-25T02:02:10.000Z","2026-09-01T00:00:00.000Z","false"
"https://www.searchsarkarinaukri.com/jobs/power-grid-corporation-of-india-limited-power-grid-corporation-of-india-limited-2026--4996","true","","2026-08-25T01:00:58.000Z","2026-09-10T00:00:00.000Z","false"
"https://www.searchsarkarinaukri.com/jobs/rcfl-mumbai-rcfl-mumbai-2026--5000","true","","2026-08-25T02:02:10.000Z","2026-09-10T00:00:00.000Z","false"
"https://www.searchsarkarinaukri.com/jobs/employees-state-insurance-corporation-esic-apply-for-29-professor-associate-professor-2026--4997","true","","2026-08-25T01:00:58.000Z","2026-08-27T00:00:00.000Z","false"
"https://www.searchsarkarinaukri.com/jobs/machine-tool-prototype-factory-ambarnath-armoured-vehicles-nigam-limited-machine-tool-prototype-fact--4995","true","","2026-08-25T01:00:58.000Z","2026-09-15T00:00:00.000Z","false"
"https://www.searchsarkarinaukri.com/jobs/tuberculosis-hospital-group-sewri-mumbai-job-openings-at-tuberculosis-hospital-group-2026--4993","true","","2026-08-25T01:00:58.000Z","2026-09-07T00:00:00.000Z","false"
"https://www.searchsarkarinaukri.com/jobs/rashtriya-chemicals-and-fertilizers-limited-job-openings-at-rashtriya-chemicals-and-2026--4994","true","","2026-08-25T01:00:58.000Z","2026-09-10T00:00:00.000Z","false"
"https://www.searchsarkarinaukri.com/jobs/maharashtra-state-electricity-transmission-co-ltd-mahatransco-maharashtra-state-electricity-transmis--4992","true","","2026-08-25T01:00:58.000Z","2026-09-07T00:00:00.000Z","false"
"https://www.searchsarkarinaukri.com/jobs/nainital-bank-risk-officer-recruitment-2026-apply-online-for-2-posts--4989","true","","2026-08-24T11:36:44.000Z","2026-09-07T00:00:00.000Z","false"
"https://www.searchsarkarinaukri.com/jobs/powergrid-graduate-civil-apprentice-recruitment-2026-apply-online-for-15-posts--4987","true","","2026-08-24T11:28:21.000Z","2026-09-10T00:00:00.000Z","false"
"https://www.searchsarkarinaukri.com/jobs/nainital-bank-hr-officer-recruitment-2026-apply-online-for-3-posts--4990","true","","2026-08-24T11:46:17.000Z","2026-09-24T06:12:17.930Z","false"
"https://www.searchsarkarinaukri.com/jobs/federal-bank-officer-sales-recruitment-2026-apply-online--4988","true","","2026-08-24T11:33:05.000Z","2026-08-31T00:00:00.000Z","false"
"https://www.searchsarkarinaukri.com/jobs/powergrid-diploma-electrical-apprentice-recruitment-2026-apply-online-for-122-posts--4984","true","","2026-08-24T11:23:42.000Z","2026-09-10T00:00:00.000Z","false"
"https://www.searchsarkarinaukri.com/jobs/powergrid-graduate-electrical-apprentice-recruitment-2026-apply-online-for-34-posts--4986","true","","2026-08-24T11:27:09.000Z","2026-09-10T00:00:00.000Z","false"
"https://www.searchsarkarinaukri.com/jobs/powergrid-iti-electrician-apprentice-recruitment-2026-apply-online-for-64-posts--4983","true","","2026-08-24T11:21:36.000Z","2026-09-10T00:00:00.000Z","false"
"https://www.searchsarkarinaukri.com/jobs/powergrid-diploma-civil-apprentice-recruitment-2026-apply-online-for-35-posts--4985","true","","2026-08-24T11:24:45.000Z","2026-09-10T00:00:00.000Z","false"
"https://www.searchsarkarinaukri.com/jobs/isro-lpsc-fireman-a-recruitment-2026-apply-online--4982","true","","2026-08-24T11:15:34.000Z","2026-09-04T00:00:00.000Z","false"
"https://www.searchsarkarinaukri.com/jobs/isro-lpsc-technician-b-fitter-recruitment-2026-apply-online-for-9-posts--4980","true","","2026-08-24T11:13:12.000Z","2026-09-04T00:00:00.000Z","false"
"https://www.searchsarkarinaukri.com/jobs/isro-lpsc-technical-assistant-chemical-recruitment-2026-apply-online--4979","true","","2026-08-24T10:36:59.000Z","2026-09-04T00:00:00.000Z","false"
"https://www.searchsarkarinaukri.com/jobs/isro-lpsc-draughtsman-b-mechanical-recruitment-2026-apply-online--4981","true","","2026-08-24T11:14:27.000Z","2026-09-04T00:00:00.000Z","false"
"https://www.searchsarkarinaukri.com/jobs/hurl-jr-engineer-assistant-ii-qa-mechanical-recruitment-2026-apply-online-for-7-posts--4976","true","","2026-08-24T10:29:20.000Z","2026-08-26T00:00:00.000Z","false"
"https://www.searchsarkarinaukri.com/jobs/hurl-jr-engineer-assistant-ii-instrumentation-recruitment-2026-apply-online-for-12-posts--4975","true","","2026-08-24T10:28:12.000Z","2026-08-26T00:00:00.000Z","false"
"https://www.searchsarkarinaukri.com/jobs/isro-lpsc-technical-assistant-mechanical-recruitment-2026-apply-online-for-6-posts--4977","true","","2026-08-24T10:32:35.000Z","2026-09-04T00:00:00.000Z","false"
"https://www.searchsarkarinaukri.com/jobs/isro-lpsc-technical-assistant-chemical-recruitment-2026-apply-online--4978","true","","2026-08-24T10:35:17.000Z","2026-09-04T00:00:00.000Z","false"
"https://www.searchsarkarinaukri.com/jobs/hurl-jr-engineer-assistant-ii-o-u-recruitment-2026-apply-online-for-6-posts--4971","true","","2026-08-24T10:23:20.000Z","2026-08-26T00:00:00.000Z","false"
"https://www.searchsarkarinaukri.com/jobs/hurl-jr-engineer-assistant-ii-ammonia-recruitment-2026-apply-online-for-7-posts--4972","true","","2026-08-24T10:24:29.000Z","2026-08-26T00:00:00.000Z","false"
"https://www.searchsarkarinaukri.com/jobs/hurl-jr-engineer-assistant-ii-urea-recruitment-2026-apply-online-for-3-posts--4973","true","","2026-08-24T10:25:37.000Z","2026-08-26T00:00:00.000Z","false"
"https://www.searchsarkarinaukri.com/jobs/hurl-jr-engineer-assistant-ii-urea-plant-handling-operations-recruitment-2026-apply-online-for-8-posts--4974","true","","2026-08-24T10:27:02.000Z","2026-08-26T00:00:00.000Z","false"
"https://www.searchsarkarinaukri.com/jobs/hurl-officer-senior-officer-marketing-recruitment-2026-apply-online--4969","true","","2026-08-24T10:20:35.000Z","2026-08-26T00:00:00.000Z","false"
"https://www.searchsarkarinaukri.com/jobs/hurl-deputy-manager-assistant-manager-officer-medical-recruitment-2026-apply-online-for-2-posts--4970","true","","2026-08-24T10:22:14.000Z","2026-08-26T00:00:00.000Z","false"
"https://www.searchsarkarinaukri.com/jobs/hurl-senior-engineer-assistant-manager-it-sap-sd-recruitment-2026-apply-online--4967","true","","2026-08-24T09:55:25.000Z","2026-08-26T00:00:00.000Z","false"
"https://www.searchsarkarinaukri.com/jobs/hurl-officer-senior-officer-human-resource-recruitment-2026-apply-online--4968","true","","2026-08-24T09:57:28.000Z","2026-08-26T00:00:00.000Z","false"
"https://www.searchsarkarinaukri.com/jobs/hurl-senior-engineer-assistant-manager-it-sap-mm-recruitment-2026-apply-online--4966","true","","2026-08-24T09:52:49.000Z","2026-08-26T00:00:00.000Z","false"
"https://www.searchsarkarinaukri.com/jobs/hurl-engineer-senior-engineer-mechanical-recruitment-2026-apply-online--4964","true","","2026-08-24T09:49:43.000Z","2026-08-26T00:00:00.000Z","false"
"https://www.searchsarkarinaukri.com/jobs/hurl-senior-engineer-assistant-manager-it-sap-fico-recruitment-2026-apply-online--4965","true","","2026-08-24T09:50:50.000Z","2026-08-26T00:00:00.000Z","false"
"https://www.searchsarkarinaukri.com/jobs/hurl-engineer-senior-engineer-electrical-recruitment-2026-apply-online--4963","true","","2026-08-24T09:45:58.000Z","2026-08-26T00:00:00.000Z","false"
"https://www.searchsarkarinaukri.com/jobs/hurl-engineer-senior-engineer-urea-recruitment-2026-apply-online--4962","true","","2026-08-24T08:33:35.000Z","2026-08-26T00:00:00.000Z","false"
"https://www.searchsarkarinaukri.com/jobs/hurl-engineer-senior-engineer-ammonia-recruitment-2026-apply-online--4961","true","","2026-08-24T08:32:36.000Z","2026-08-26T00:00:00.000Z","false"
"https://www.searchsarkarinaukri.com/jobs/hurl-engineer-senior-engineer-recruitment-2026-apply-online--4959","true","","2026-08-24T08:29:32.000Z","2026-08-26T00:00:00.000Z","false"
"https://www.searchsarkarinaukri.com/jobs/hurl-engineer-senior-engineer-o-u-recruitment-2026-apply-online--4960","true","","2026-08-24T08:31:31.000Z","2026-08-26T00:00:00.000Z","false"
"https://www.searchsarkarinaukri.com/jobs/vnit-nagpur-vnit-nagpur-2026--4957","true","","2026-08-23T02:02:09.000Z","2026-09-15T00:00:00.000Z","false"
"https://www.searchsarkarinaukri.com/jobs/nmdfc-nmdfc-2026--4958","true","","2026-08-23T02:02:09.000Z","2026-09-23T00:00:00.000Z","false"
"https://www.searchsarkarinaukri.com/jobs/icsil-bharti-2026-details-icsil-bharti-2026-details-2026--4956","true","","2026-08-23T02:02:09.000Z","2026-08-25T00:00:00.000Z","false"
"https://www.searchsarkarinaukri.com/jobs/tifr-mumbai-tifr-mumbai-2026--4955","true","","2026-08-23T02:02:09.000Z","2026-09-15T00:00:00.000Z","false"
"https://www.searchsarkarinaukri.com/jobs/ciims-hospital-nagpur-ciims-hospital-nagpur-2026--4954","true","","2026-08-23T02:02:09.000Z","2026-08-29T00:00:00.000Z","false"
"https://www.searchsarkarinaukri.com/jobs/ibps-crp-clerk-ibps-crp-clerk-2026--4952","true","","2026-08-23T02:02:08.000Z","2026-08-28T00:00:00.000Z","false"
"https://www.searchsarkarinaukri.com/jobs/shahu-shikshan-sanstha-solapur-shahu-shikshan-sanstha-solapur-2026--4951","true","","2026-08-23T02:02:08.000Z","2026-09-21T00:00:00.000Z","false"
"https://www.searchsarkarinaukri.com/jobs/machine-tool-prototype-factory-machine-tool-prototype-factory-2026--4953","true","","2026-08-23T02:02:08.000Z","2026-09-15T00:00:00.000Z","false"
"https://www.searchsarkarinaukri.com/jobs/pgcil-pgcil-2026--4949","true","","2026-08-23T02:02:08.000Z","2026-09-10T00:00:00.000Z","false"
"https://www.searchsarkarinaukri.com/jobs/ministry-of-information-and-broadcasting-ministry-of-information-and-broadcasting-2026--4950","true","","2026-08-23T02:02:08.000Z","2026-10-02T00:00:00.000Z","false"
"https://www.searchsarkarinaukri.com/jobs/kendriya-vidyalaya-of-varangaon-kendriya-vidyalaya-of-varangaon-2026--4947","true","","2026-08-23T02:02:08.000Z","2026-08-24T00:00:00.000Z","true"
"https://www.searchsarkarinaukri.com/jobs/ministry-of-jal-shakti-ministry-of-jal-shakti-2026--4948","true","","2026-08-23T02:02:08.000Z","2026-09-28T00:00:00.000Z","false"
