No,URL,Path,Last crawled,Original HTTP Status,Current HTTP Status,Exists in DB,Content Exists,URL Pattern,Job ID,Replacement URL,Final Category,Action,Reason,Priority,Round 1 Result,Round 2 Result,Round 3 Result,Sign-off
1,https://www.searchsarkarinaukri.com/jobs/1701,/jobs/1701,2026-08-06,404,TO_TEST,TO_VERIFY,TO_VERIFY,NUMERIC_JOB_ID,1701,TO_VERIFY,UNRESOLVED_PENDING_DB_LIVE_CHECK,RESTORE_200_OR_REMOVE_410_AFTER_DB_CHECK,"Numeric job URL from GSC. Verify job ID in DB/CMS before deciding: restore to 200 if valid/published, redirect if canonical slug exists, or 410/404 if permanently absent.",P0,PENDING,PENDING,PENDING,PENDING
2,https://www.searchsarkarinaukri.com/jobs/1515,/jobs/1515,2026-07-31,404,TO_TEST,TO_VERIFY,TO_VERIFY,NUMERIC_JOB_ID,1515,TO_VERIFY,UNRESOLVED_PENDING_DB_LIVE_CHECK,RESTORE_200_OR_REMOVE_410_AFTER_DB_CHECK,"Numeric job URL from GSC. Verify job ID in DB/CMS before deciding: restore to 200 if valid/published, redirect if canonical slug exists, or 410/404 if permanently absent.",P0,PENDING,PENDING,PENDING,PENDING
3,https://www.searchsarkarinaukri.com/jobs/1511,/jobs/1511,2026-07-30,404,TO_TEST,TO_VERIFY,TO_VERIFY,NUMERIC_JOB_ID,1511,TO_VERIFY,UNRESOLVED_PENDING_DB_LIVE_CHECK,RESTORE_200_OR_REMOVE_410_AFTER_DB_CHECK,"Numeric job URL from GSC. Verify job ID in DB/CMS before deciding: restore to 200 if valid/published, redirect if canonical slug exists, or 410/404 if permanently absent.",P0,PENDING,PENDING,PENDING,PENDING
4,https://www.searchsarkarinaukri.com/jobs/110,/jobs/110,2026-07-29,404,TO_TEST,TO_VERIFY,TO_VERIFY,NUMERIC_JOB_ID,110,TO_VERIFY,UNRESOLVED_PENDING_DB_LIVE_CHECK,RESTORE_200_OR_REMOVE_410_AFTER_DB_CHECK,"Numeric job URL from GSC. Verify job ID in DB/CMS before deciding: restore to 200 if valid/published, redirect if canonical slug exists, or 410/404 if permanently absent.",P0,PENDING,PENDING,PENDING,PENDING
5,https://www.searchsarkarinaukri.com/jobs/indian-railways-ir-gm-electrical-at-corporate-office-new-delhi-on-deputation-bas-110,/jobs/indian-railways-ir-gm-electrical-at-corporate-office-new-delhi-on-deputation-bas-110,2026-07-29,404,404_CONFIRMED_LIVE_TEST,TO_VERIFY_ID_110,TO_VERIFY,SLUG_WITH_JOB_ID,110,TO_VERIFY_CANONICAL_FOR_JOB_110,UNRESOLVED_PENDING_DB_CHECK,RESTORE_200_OR_REDIRECT_301_TO_CANONICAL_AFTER_DB_CHECK,"GSC live URL Inspection on 29 Aug 2026 11:14:18: URL cannot be indexed because Not found (404). Slug contains job ID 110, so verify canonical DB slug and route by ID. Do not redirect to homepage.",P0,GSC_LIVE_404_CONFIRMED,PENDING,PENDING,PENDING
6,https://www.searchsarkarinaukri.com/jobs/1085,/jobs/1085,2026-07-25,404,TO_TEST,TO_VERIFY,TO_VERIFY,NUMERIC_JOB_ID,1085,TO_VERIFY,UNRESOLVED_PENDING_DB_LIVE_CHECK,RESTORE_200_OR_REMOVE_410_AFTER_DB_CHECK,"Numeric job URL from GSC. Verify job ID in DB/CMS before deciding: restore to 200 if valid/published, redirect if canonical slug exists, or 410/404 if permanently absent.",P0,PENDING,PENDING,PENDING,PENDING
7,https://www.searchsarkarinaukri.com/jobs/858,/jobs/858,2026-07-23,404,TO_TEST,TO_VERIFY,TO_VERIFY,NUMERIC_JOB_ID,858,TO_VERIFY,UNRESOLVED_PENDING_DB_LIVE_CHECK,RESTORE_200_OR_REMOVE_410_AFTER_DB_CHECK,"Numeric job URL from GSC. Verify job ID in DB/CMS before deciding: restore to 200 if valid/published, redirect if canonical slug exists, or 410/404 if permanently absent.",P0,PENDING,PENDING,PENDING,PENDING
8,https://www.searchsarkarinaukri.com/jobs/983,/jobs/983,2026-07-23,404,TO_TEST,TO_VERIFY,TO_VERIFY,NUMERIC_JOB_ID,983,TO_VERIFY,UNRESOLVED_PENDING_DB_LIVE_CHECK,RESTORE_200_OR_REMOVE_410_AFTER_DB_CHECK,"Numeric job URL from GSC. Verify job ID in DB/CMS before deciding: restore to 200 if valid/published, redirect if canonical slug exists, or 410/404 if permanently absent.",P0,PENDING,PENDING,PENDING,PENDING
9,https://www.searchsarkarinaukri.com/jobs/institute-of-banking-personnel-selectionibps-research-associate-facult,/jobs/institute-of-banking-personnel-selectionibps-research-associate-facult,2026-07-22,404,TO_TEST,TO_VERIFY,TO_VERIFY,OTHER,,TO_VERIFY,UNRESOLVED_PENDING_DB_LIVE_CHECK,REMOVE_404_OR_410_AFTER_VERIFICATION,Non-standard job URL without a clear ID suffix. Search DB/content/internal links. Keep 404/410 unless an unambiguous canonical replacement exists.,P2,PENDING,PENDING,PENDING,PENDING
10,https://www.searchsarkarinaukri.com/jobs/institute-of-banking-personnel-selectionibps-research-associate-faculty-technica-858,/jobs/institute-of-banking-personnel-selectionibps-research-associate-faculty-technica-858,2026-07-22,404,TO_TEST,TO_VERIFY,TO_VERIFY,SLUG_WITH_JOB_ID,858,TO_VERIFY,UNRESOLVED_PENDING_DB_LIVE_CHECK,REDIRECT_301_OR_RESTORE_200_AFTER_DB_CHECK,"Slug URL includes a likely job ID. Verify canonical DB slug for that ID. If equivalent canonical URL exists, 301 directly to it; if this is canonical but broken, restore 200.",P0,PENDING,PENDING,PENDING,PENDING
11,https://www.searchsarkarinaukri.com/jobs/835,/jobs/835,2026-07-22,404,404_CONFIRMED_GSC,TO_VERIFY_ID_835,TO_VERIFY,NUMERIC_JOB_ID,835,TO_VERIFY_CANONICAL_OR_NONE,UNRESOLVED_PENDING_DB_CHECK,RESTORE_200_OR_REDIRECT_301_OR_REMOVE_410_AFTER_DB_CHECK,GSC URL Inspection: not indexed because Not found (404). Last crawl 22 Jul 2026 03:08:51; Googlebot smartphone; no referring sitemap detected. Verify job ID 835 before deciding.,P0,GSC_404_CONFIRMED,PENDING,PENDING,PENDING
12,https://www.searchsarkarinaukri.com/jobs/1104,/jobs/1104,2026-07-21,404,TO_TEST,TO_VERIFY,TO_VERIFY,NUMERIC_JOB_ID,1104,TO_VERIFY,UNRESOLVED_PENDING_DB_LIVE_CHECK,RESTORE_200_OR_REMOVE_410_AFTER_DB_CHECK,"Numeric job URL from GSC. Verify job ID in DB/CMS before deciding: restore to 200 if valid/published, redirect if canonical slug exists, or 410/404 if permanently absent.",P0,PENDING,PENDING,PENDING,PENDING
13,https://www.searchsarkarinaukri.com/jobs/1113,/jobs/1113,2026-07-20,404,TO_TEST,TO_VERIFY,TO_VERIFY,NUMERIC_JOB_ID,1113,TO_VERIFY,UNRESOLVED_PENDING_DB_LIVE_CHECK,RESTORE_200_OR_REMOVE_410_AFTER_DB_CHECK,"Numeric job URL from GSC. Verify job ID in DB/CMS before deciding: restore to 200 if valid/published, redirect if canonical slug exists, or 410/404 if permanently absent.",P0,PENDING,PENDING,PENDING,PENDING
14,https://www.searchsarkarinaukri.com/jobs/875,/jobs/875,2026-07-20,404,TO_TEST,TO_VERIFY,TO_VERIFY,NUMERIC_JOB_ID,875,TO_VERIFY,UNRESOLVED_PENDING_DB_LIVE_CHECK,RESTORE_200_OR_REMOVE_410_AFTER_DB_CHECK,"Numeric job URL from GSC. Verify job ID in DB/CMS before deciding: restore to 200 if valid/published, redirect if canonical slug exists, or 410/404 if permanently absent.",P0,PENDING,PENDING,PENDING,PENDING
15,https://www.searchsarkarinaukri.com/jobs/1081,/jobs/1081,2026-07-14,404,TO_TEST,TO_VERIFY,TO_VERIFY,NUMERIC_JOB_ID,1081,TO_VERIFY,UNRESOLVED_PENDING_DB_LIVE_CHECK,RESTORE_200_OR_REMOVE_410_AFTER_DB_CHECK,"Numeric job URL from GSC. Verify job ID in DB/CMS before deciding: restore to 200 if valid/published, redirect if canonical slug exists, or 410/404 if permanently absent.",P0,PENDING,PENDING,PENDING,PENDING
16,https://www.searchsarkarinaukri.com/jobs/2013,/jobs/2013,2026-07-09,404,TO_TEST,TO_VERIFY,TO_VERIFY,NUMERIC_JOB_ID,2013,TO_VERIFY,UNRESOLVED_PENDING_DB_LIVE_CHECK,RESTORE_200_OR_REMOVE_410_AFTER_DB_CHECK,"Numeric job URL from GSC. Verify job ID in DB/CMS before deciding: restore to 200 if valid/published, redirect if canonical slug exists, or 410/404 if permanently absent.",P0,PENDING,PENDING,PENDING,PENDING
