"No","URL","Source","File"
"1","https://www.searchsarkarinaukri.com/jobs-in-patna","GSC visible example","../01_URL_Briefs/01_jobs-in-patna.md"
"2","https://www.searchsarkarinaukri.com/districts/jalgaon/railway","GSC visible example","../01_URL_Briefs/02-districts-jalgaon-railway.md"
"3","https://www.searchsarkarinaukri.com/districts/aurangabad/police","GSC visible example","../01_URL_Briefs/03-districts-aurangabad-police.md"
"4","https://www.searchsarkarinaukri.com/districts/kolhapur/health","GSC visible example","../01_URL_Briefs/04-districts-kolhapur-health.md"
"5","https://www.searchsarkarinaukri.com/districts/mumbai-suburban/education","GSC visible example","../01_URL_Briefs/05-districts-mumbai-suburban-education.md"
"6","https://www.searchsarkarinaukri.com/districts/jalna/talathi","GSC visible example","../01_URL_Briefs/06-districts-jalna-talathi.md"
"7","https://www.searchsarkarinaukri.com/districts/amravati/central","GSC visible example","../01_URL_Briefs/07-districts-amravati-central.md"
"8","https://www.searchsarkarinaukri.com/iti-jobs-in-punjab","GSC visible example","../01_URL_Briefs/08_iti-jobs-in-punjab.md"
"9","https://www.searchsarkarinaukri.com/engineer-jobs-in-lucknow","GSC visible example","../01_URL_Briefs/09-engineer-jobs-in-lucknow.md"
"10","https://www.searchsarkarinaukri.com/engineer-jobs-in-chennai","GSC visible example","../01_URL_Briefs/10-engineer-jobs-in-chennai.md"
"11","https://www.searchsarkarinaukri.com/assessment","Supplemental local crawl indexability evidence","../01_URL_Briefs/11-assessment.md"
"12","https://www.searchsarkarinaukri.com/department/mpsc","Supplemental local crawl indexability evidence","../01_URL_Briefs/12-department-mpsc.md"
"13","https://www.searchsarkarinaukri.com/department/ssc","Supplemental local crawl indexability evidence","../01_URL_Briefs/13-department-ssc.md"
"14","https://www.searchsarkarinaukri.com/districts/10th-bn-p-a-c-barabanki-s.o.","Supplemental local crawl indexability evidence","../01_URL_Briefs/14-districts-10th-bn-p-a-c-barabanki-s-o.md"
"15","https://www.searchsarkarinaukri.com/districts/31-bn-pac-rudarpur-so","Supplemental local crawl indexability evidence","../01_URL_Briefs/15-districts-31-bn-pac-rudarpur-so.md"
"16","https://www.searchsarkarinaukri.com/districts/abbaiahnahalli-b.o","Supplemental local crawl indexability evidence","../01_URL_Briefs/16-districts-abbaiahnahalli-b-o.md"
"17","https://www.searchsarkarinaukri.com/districts/achhanpur-b.o","Supplemental local crawl indexability evidence","../01_URL_Briefs/17-districts-achhanpur-b-o.md"
"18","https://www.searchsarkarinaukri.com/districts/across-24-states/uts","Supplemental local crawl indexability evidence","../01_URL_Briefs/18-districts-across-24-states-uts.md"
"19","https://www.searchsarkarinaukri.com/districts/across-himachal-pradesh","Supplemental local crawl indexability evidence","../01_URL_Briefs/19-districts-across-himachal-pradesh.md"
"20","https://www.searchsarkarinaukri.com/districts/across-india","Supplemental local crawl indexability evidence","../01_URL_Briefs/20-districts-across-india.md"
"21","https://www.searchsarkarinaukri.com/districts/across-india-/-abroad","Supplemental local crawl indexability evidence","../01_URL_Briefs/21-districts-across-india-abroad.md"
"22","https://www.searchsarkarinaukri.com/districts/across-jharkhand","Supplemental local crawl indexability evidence","../01_URL_Briefs/22-districts-across-jharkhand.md"
"23","https://www.searchsarkarinaukri.com/districts/across-ntpc-locations","Supplemental local crawl indexability evidence","../01_URL_Briefs/23-districts-across-ntpc-locations.md"
"24","https://www.searchsarkarinaukri.com/districts/ahmedabad","Supplemental local crawl indexability evidence","../01_URL_Briefs/24-districts-ahmedabad.md"
"25","https://www.searchsarkarinaukri.com/districts/ahmedabad-/-gandhinagar-/-surat","Supplemental local crawl indexability evidence","../01_URL_Briefs/25-districts-ahmedabad-gandhinagar-surat.md"
"26","https://www.searchsarkarinaukri.com/districts/al-aircraft-division","Supplemental local crawl indexability evidence","../01_URL_Briefs/26-districts-al-aircraft-division.md"
"27","https://www.searchsarkarinaukri.com/districts/alipurduar","Supplemental local crawl indexability evidence","../01_URL_Briefs/27-districts-alipurduar.md"
"28","https://www.searchsarkarinaukri.com/districts/all-districts","Supplemental local crawl indexability evidence","../01_URL_Briefs/28-districts-all-districts.md"
"29","https://www.searchsarkarinaukri.com/districts/all-india","Supplemental local crawl indexability evidence","../01_URL_Briefs/29-districts-all-india.md"
"30","https://www.searchsarkarinaukri.com/districts/amaravati","Supplemental local crawl indexability evidence","../01_URL_Briefs/30-districts-amaravati.md"
"31","https://www.searchsarkarinaukri.com/districts/ambarnath","Supplemental local crawl indexability evidence","../01_URL_Briefs/31-districts-ambarnath.md"
"32","https://www.searchsarkarinaukri.com/districts/anand","Supplemental local crawl indexability evidence","../01_URL_Briefs/32-districts-anand.md"
"33","https://www.searchsarkarinaukri.com/districts/andhra-pradesh","Supplemental local crawl indexability evidence","../01_URL_Briefs/33-districts-andhra-pradesh.md"
"34","https://www.searchsarkarinaukri.com/districts/any-branch/office-of-nainital-bank","Supplemental local crawl indexability evidence","../01_URL_Briefs/34-districts-any-branch-office-of-nainital-bank.md"
"35","https://www.searchsarkarinaukri.com/districts/anywhere-in-india","Supplemental local crawl indexability evidence","../01_URL_Briefs/35-districts-anywhere-in-india.md"
"36","https://www.searchsarkarinaukri.com/districts/anywhere-in-nhsrcl-/-mahsr-project","Supplemental local crawl indexability evidence","../01_URL_Briefs/36-districts-anywhere-in-nhsrcl-mahsr-project.md"
"37","https://www.searchsarkarinaukri.com/districts/arunachal-pradesh","Supplemental local crawl indexability evidence","../01_URL_Briefs/37-districts-arunachal-pradesh.md"
"38","https://www.searchsarkarinaukri.com/districts/assam","Supplemental local crawl indexability evidence","../01_URL_Briefs/38-districts-assam.md"
"39","https://www.searchsarkarinaukri.com/districts/avadi","Supplemental local crawl indexability evidence","../01_URL_Briefs/39-districts-avadi.md"
"40","https://www.searchsarkarinaukri.com/districts/bagdogra-airport","Supplemental local crawl indexability evidence","../01_URL_Briefs/40-districts-bagdogra-airport.md"
"41","https://www.searchsarkarinaukri.com/districts/bangalore","Supplemental local crawl indexability evidence","../01_URL_Briefs/41-districts-bangalore.md"
"42","https://www.searchsarkarinaukri.com/districts/barrackpore","Supplemental local crawl indexability evidence","../01_URL_Briefs/42-districts-barrackpore.md"
"43","https://www.searchsarkarinaukri.com/districts/bengaluru","Supplemental local crawl indexability evidence","../01_URL_Briefs/43-districts-bengaluru.md"
"44","https://www.searchsarkarinaukri.com/districts/bhel-tiruchirappalli","Supplemental local crawl indexability evidence","../01_URL_Briefs/44-districts-bhel-tiruchirappalli.md"
"45","https://www.searchsarkarinaukri.com/districts/bhopal","Supplemental local crawl indexability evidence","../01_URL_Briefs/45-districts-bhopal.md"
"46","https://www.searchsarkarinaukri.com/districts/bhubaneswar","Supplemental local crawl indexability evidence","../01_URL_Briefs/46-districts-bhubaneswar.md"
"47","https://www.searchsarkarinaukri.com/districts/bhubaneswar-airport","Supplemental local crawl indexability evidence","../01_URL_Briefs/47-districts-bhubaneswar-airport.md"
"48","https://www.searchsarkarinaukri.com/districts/bihar","Supplemental local crawl indexability evidence","../01_URL_Briefs/48-districts-bihar.md"
"49","https://www.searchsarkarinaukri.com/districts/birsa-munda-airport","Supplemental local crawl indexability evidence","../01_URL_Briefs/49-districts-birsa-munda-airport.md"
"50","https://www.searchsarkarinaukri.com/districts/buxar-thermal-power-project","Supplemental local crawl indexability evidence","../01_URL_Briefs/50-districts-buxar-thermal-power-project.md"
"51","https://www.searchsarkarinaukri.com/districts/central","Supplemental local crawl indexability evidence","../01_URL_Briefs/51-districts-central.md"
"52","https://www.searchsarkarinaukri.com/districts/chennai","Supplemental local crawl indexability evidence","../01_URL_Briefs/52-districts-chennai.md"
"53","https://www.searchsarkarinaukri.com/districts/chhatrapati-sambhajinagar","Supplemental local crawl indexability evidence","../01_URL_Briefs/53-districts-chhatrapati-sambhajinagar.md"
"54","https://www.searchsarkarinaukri.com/districts/chhattisgarh","Supplemental local crawl indexability evidence","../01_URL_Briefs/54-districts-chhattisgarh.md"
"55","https://www.searchsarkarinaukri.com/districts/chittaranjan","Supplemental local crawl indexability evidence","../01_URL_Briefs/55-districts-chittaranjan.md"
"56","https://www.searchsarkarinaukri.com/districts/chittoor","Supplemental local crawl indexability evidence","../01_URL_Briefs/56-districts-chittoor.md"
