No,Current URL,Current URL Type,Local Crawl Status,Word Count,Current Indexable,Recommended URL,URL Change Required,Decision,Priority,Brief
1,https://www.searchsarkarinaukri.com/admit-cards/1,Numeric/generic,200,139,true,https://www.searchsarkarinaukri.com/admit-cards/mpsc-rajyaseva-prelims-2026-2026,Yes,Migrate numeric URL to descriptive canonical slug after collision check and 301/308 old URL to new URL,P1,../01_URL_Briefs_All_896/001_1.md
2,https://www.searchsarkarinaukri.com/admit-cards/17,Numeric/generic,200,138,true,https://www.searchsarkarinaukri.com/admit-cards/mpsc-2026-2026,Yes,Slug collision candidate - do not migrate until unique distinguishing entity/year/authority is added,P0 collision review,../01_URL_Briefs_All_896/002_17.md
3,https://www.searchsarkarinaukri.com/admit-cards/20,Numeric/generic,200,142,true,https://www.searchsarkarinaukri.com/admit-cards/mpsc-rajyaseva-2025-2026,Yes,Slug collision candidate - do not migrate until unique distinguishing entity/year/authority is added,P0 collision review,../01_URL_Briefs_All_896/003_20.md
4,https://www.searchsarkarinaukri.com/admit-cards/22,Numeric/generic,200,142,true,https://www.searchsarkarinaukri.com/admit-cards/ssc-mts-2025-2026,Yes,Slug collision candidate - do not migrate until unique distinguishing entity/year/authority is added,P0 collision review,../01_URL_Briefs_All_896/004_22.md
5,https://www.searchsarkarinaukri.com/admit-cards/24,Numeric/generic,200,138,true,https://www.searchsarkarinaukri.com/admit-cards/mpsc-2026-2026,Yes,Slug collision candidate - do not migrate until unique distinguishing entity/year/authority is added,P0 collision review,../01_URL_Briefs_All_896/005_24.md
6,https://www.searchsarkarinaukri.com/admit-cards/25,Numeric/generic,200,142,true,https://www.searchsarkarinaukri.com/admit-cards/mpsc-rajyaseva-2025-2026,Yes,Slug collision candidate - do not migrate until unique distinguishing entity/year/authority is added,P0 collision review,../01_URL_Briefs_All_896/006_25.md
7,https://www.searchsarkarinaukri.com/admit-cards/27,Numeric/generic,200,142,true,https://www.searchsarkarinaukri.com/admit-cards/upsc-cse-2026-2026,Yes,Slug collision candidate - do not migrate until unique distinguishing entity/year/authority is added,P0 collision review,../01_URL_Briefs_All_896/007_27.md
8,https://www.searchsarkarinaukri.com/admit-cards/29,Numeric/generic,200,142,true,https://www.searchsarkarinaukri.com/admit-cards/ssc-mts-2025-2026,Yes,Slug collision candidate - do not migrate until unique distinguishing entity/year/authority is added,P0 collision review,../01_URL_Briefs_All_896/008_29.md
9,https://www.searchsarkarinaukri.com/admit-cards/31,Numeric/generic,200,138,true,https://www.searchsarkarinaukri.com/admit-cards/mpsc-2026-2026,Yes,Slug collision candidate - do not migrate until unique distinguishing entity/year/authority is added,P0 collision review,../01_URL_Briefs_All_896/009_31.md
10,https://www.searchsarkarinaukri.com/admit-cards/32,Numeric/generic,200,142,true,https://www.searchsarkarinaukri.com/admit-cards/mpsc-rajyaseva-2025-2026,Yes,Slug collision candidate - do not migrate until unique distinguishing entity/year/authority is added,P0 collision review,../01_URL_Briefs_All_896/010_32.md
11,https://www.searchsarkarinaukri.com/admit-cards/33,Numeric/generic,200,142,true,https://www.searchsarkarinaukri.com/admit-cards/upsc-cse-2026-2026,Yes,Slug collision candidate - do not migrate until unique distinguishing entity/year/authority is added,P0 collision review,../01_URL_Briefs_All_896/011_33.md
12,https://www.searchsarkarinaukri.com/admit-cards/36,Numeric/generic,200,142,true,https://www.searchsarkarinaukri.com/admit-cards/ssc-mts-2025-2026,Yes,Slug collision candidate - do not migrate until unique distinguishing entity/year/authority is added,P0 collision review,../01_URL_Briefs_All_896/012_36.md
13,https://www.searchsarkarinaukri.com/admit-cards/38,Numeric/generic,200,138,true,https://www.searchsarkarinaukri.com/admit-cards/mpsc-2026-2026,Yes,Slug collision candidate - do not migrate until unique distinguishing entity/year/authority is added,P0 collision review,../01_URL_Briefs_All_896/013_38.md
14,https://www.searchsarkarinaukri.com/admit-cards/39,Numeric/generic,200,142,true,https://www.searchsarkarinaukri.com/admit-cards/mpsc-rajyaseva-2025-2026,Yes,Slug collision candidate - do not migrate until unique distinguishing entity/year/authority is added,P0 collision review,../01_URL_Briefs_All_896/014_39.md
15,https://www.searchsarkarinaukri.com/admit-cards/40,Numeric/generic,200,142,true,https://www.searchsarkarinaukri.com/admit-cards/upsc-cse-2026-2026,Yes,Slug collision candidate - do not migrate until unique distinguishing entity/year/authority is added,P0 collision review,../01_URL_Briefs_All_896/015_40.md
16,https://www.searchsarkarinaukri.com/admit-cards/43,Numeric/generic,200,142,true,https://www.searchsarkarinaukri.com/admit-cards/ssc-mts-2025-2026,Yes,Slug collision candidate - do not migrate until unique distinguishing entity/year/authority is added,P0 collision review,../01_URL_Briefs_All_896/016_43.md
17,https://www.searchsarkarinaukri.com/admit-cards/47,Numeric/generic,200,138,true,https://www.searchsarkarinaukri.com/admit-cards/mpsc-2026-2026,Yes,Slug collision candidate - do not migrate until unique distinguishing entity/year/authority is added,P0 collision review,../01_URL_Briefs_All_896/017_47.md
18,https://www.searchsarkarinaukri.com/admit-cards/48,Numeric/generic,200,142,true,https://www.searchsarkarinaukri.com/admit-cards/upsc-cse-2026-2026,Yes,Slug collision candidate - do not migrate until unique distinguishing entity/year/authority is added,P0 collision review,../01_URL_Briefs_All_896/018_48.md
19,https://www.searchsarkarinaukri.com/admit-cards/5,Numeric/generic,200,139,true,https://www.searchsarkarinaukri.com/admit-cards/sbi-po-prelims-2026-2026,Yes,Migrate numeric URL to descriptive canonical slug after collision check and 301/308 old URL to new URL,P1,../01_URL_Briefs_All_896/019_5.md
20,https://www.searchsarkarinaukri.com/admit-cards/50,Numeric/generic,200,142,true,https://www.searchsarkarinaukri.com/admit-cards/ssc-mts-2025-2026,Yes,Slug collision candidate - do not migrate until unique distinguishing entity/year/authority is added,P0 collision review,../01_URL_Briefs_All_896/020_50.md
21,https://www.searchsarkarinaukri.com/admit-cards/53,Numeric/generic,200,138,true,https://www.searchsarkarinaukri.com/admit-cards/mpsc-2026-2026,Yes,Slug collision candidate - do not migrate until unique distinguishing entity/year/authority is added,P0 collision review,../01_URL_Briefs_All_896/021_53.md
22,https://www.searchsarkarinaukri.com/admit-cards/56,Numeric/generic,200,142,true,https://www.searchsarkarinaukri.com/admit-cards/ssc-mts-2025-2026,Yes,Slug collision candidate - do not migrate until unique distinguishing entity/year/authority is added,P0 collision review,../01_URL_Briefs_All_896/022_56.md
23,https://www.searchsarkarinaukri.com/admit-cards/57,Numeric/generic,200,142,true,https://www.searchsarkarinaukri.com/admit-cards/upsc-other-2026-2026,Yes,Migrate numeric URL to descriptive canonical slug after collision check and 301/308 old URL to new URL,P1,../01_URL_Briefs_All_896/023_57.md
24,https://www.searchsarkarinaukri.com/admit-cards/61,Numeric/generic,200,138,true,https://www.searchsarkarinaukri.com/admit-cards/mpsc-2026-2026,Yes,Slug collision candidate - do not migrate until unique distinguishing entity/year/authority is added,P0 collision review,../01_URL_Briefs_All_896/024_61.md
